2025-06-18 22:35:50,718 - INFO - System Monitor: Starting system monitoring...
2025-06-18 22:35:51,726 - INFO - CPU: Usage: 0.4%
2025-06-18 22:35:51,726 - INFO - Memory: Usage: 74.4%
2025-06-18 22:35:52,397 - INFO - Software: PID: 5000, Name: sqlwriter.exe, Username: None
2025-06-18 22:35:52,403 - INFO - Software: PID: 5012, Name: svchost.exe, Username: None
2025-06-18 22:35:52,409 - INFO - Software: PID: 5020, Name: svchost.exe, Username: None
2025-06-18 22:35:52,415 - INFO - Software: PID: 5108, Name: UltraViewer_Service.exe, Username: None
2025-06-18 22:35:52,420 - INFO - Software: PID: 5168, Name: vmnetdhcp.exe, Username: None
2025-06-18 22:35:52,427 - INFO - Software: PID: 5220, Name: WavesAudioService.exe, Username: None
2025-06-18 22:35:52,432 - INFO - Software: PID: 5228, Name: vmnat.exe, Username: None
2025-06-18 22:35:52,437 - INFO - Software: PID: 5244, Name: RAPS.exe, Username: None
2025-06-18 22:35:52,445 - INFO - Software: PID: 5248, Name: WavesSysSvc64.exe, Username: None
2025-06-18 22:35:52,450 - INFO - Software: PID: 5260, Name: svchost.exe, Username: None
2025-06-18 22:35:52,455 - INFO - Software: PID: 5360, Name: MsMpEng.exe, Username: None
2025-06-18 22:35:52,456 - INFO - Software: PID: 5388, Name: dptf_helper.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,462 - INFO - Software: PID: 5488, Name: WMIRegistrationService.exe, Username: None
2025-06-18 22:35:52,468 - INFO - Software: PID: 5500, Name: svchost.exe, Username: None
2025-06-18 22:35:52,469 - INFO - Software: PID: 5508, Name: conhost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,475 - INFO - Software: PID: 5804, Name: mysqld.exe, Username: None
2025-06-18 22:35:52,480 - INFO - Software: PID: 5816, Name: svchost.exe, Username: None
2025-06-18 22:35:52,486 - INFO - Software: PID: 5824, Name: svchost.exe, Username: None
2025-06-18 22:35:52,492 - INFO - Software: PID: 5908, Name: conhost.exe, Username: None
2025-06-18 22:35:52,493 - INFO - Software: PID: 5984, Name: msedgewebview2.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,499 - INFO - Software: PID: 6064, Name: vmware-authd.exe, Username: None
2025-06-18 22:35:52,504 - INFO - Software: PID: 6084, Name: vmware-usbarbitrator64.exe, Username: None
2025-06-18 22:35:52,504 - INFO - Software: PID: 6136, Name: pwsh.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,505 - INFO - Software: PID: 6200, Name: conhost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,513 - INFO - Software: PID: 6484, Name: mfevtps.exe, Username: None
2025-06-18 22:35:52,559 - INFO - Software: PID: 6552, Name: svchost.exe, Username: None
2025-06-18 22:35:52,574 - INFO - Software: PID: 6572, Name: svchost.exe, Username: None
2025-06-18 22:35:52,581 - INFO - Software: PID: 6616, Name: svchost.exe, Username: None
2025-06-18 22:35:52,587 - INFO - Software: PID: 6668, Name: svchost.exe, Username: None
2025-06-18 22:35:52,588 - INFO - Software: PID: 6960, Name: uihost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,595 - INFO - Software: PID: 7028, Name: RAPSService.exe, Username: None
2025-06-18 22:35:52,600 - INFO - Software: PID: 7116, Name: MMSSHOST.exe, Username: None
2025-06-18 22:35:52,606 - INFO - Software: PID: 7212, Name: ProtectedModuleHost.exe, Username: None
2025-06-18 22:35:52,607 - INFO - Software: PID: 7372, Name: chrome.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,608 - INFO - Software: PID: 7500, Name: pwsh.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,608 - INFO - Software: PID: 7532, Name: conhost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,614 - INFO - Software: PID: 7620, Name: svchost.exe, Username: None
2025-06-18 22:35:52,620 - INFO - Software: PID: 7648, Name: Launchpad.exe, Username: None
2025-06-18 22:35:52,621 - INFO - Software: PID: 7724, Name: svchost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,621 - INFO - Software: PID: 7812, Name: msedge.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,621 - INFO - Software: PID: 7960, Name: browserhost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,621 - INFO - Software: PID: 7964, Name: conhost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,627 - INFO - Software: PID: 8004, Name: WmiPrvSE.exe, Username: None
2025-06-18 22:35:52,628 - INFO - Software: PID: 8024, Name: py.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,633 - INFO - Software: PID: 8420, Name: AggregatorHost.exe, Username: None
2025-06-18 22:35:52,638 - INFO - Software: PID: 8564, Name: ModuleCoreService.exe, Username: None
2025-06-18 22:35:52,645 - INFO - Software: PID: 8584, Name: conhost.exe, Username: None
2025-06-18 22:35:52,651 - INFO - Software: PID: 8624, Name: Dell.D3.WinSvc.exe, Username: None
2025-06-18 22:35:52,656 - INFO - Software: PID: 8636, Name: PresentationFontCache.exe, Username: None
2025-06-18 22:35:52,662 - INFO - Software: PID: 8684, Name: svchost.exe, Username: None
2025-06-18 22:35:52,667 - INFO - Software: PID: 8704, Name: svchost.exe, Username: None
2025-06-18 22:35:52,667 - INFO - Software: PID: 8904, Name: sihost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,668 - INFO - Software: PID: 8924, Name: chrome.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,668 - INFO - Software: PID: 8988, Name: svchost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,674 - INFO - Software: PID: 8996, Name: svchost.exe, Username: None
2025-06-18 22:35:52,675 - INFO - Software: PID: 9172, Name: svchost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,675 - INFO - Software: PID: 9232, Name: taskhostw.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,676 - INFO - Software: PID: 9420, Name: WidgetService.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,677 - INFO - Software: PID: 9472, Name: AcPowerNotification.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,677 - INFO - Software: PID: 9828, Name: RuntimeBroker.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,678 - INFO - Software: PID: 9848, Name: igfxEMN.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,678 - INFO - Software: PID: 9900, Name: svchost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,678 - INFO - Software: PID: 9976, Name: Code.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,679 - INFO - Software: PID: 10040, Name: explorer.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,679 - INFO - Software: PID: 10148, Name: Widgets.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,683 - INFO - Software: PID: 10228, Name: svchost.exe, Username: None
2025-06-18 22:35:52,688 - INFO - Software: PID: 10312, Name: sqlservr.exe, Username: None
2025-06-18 22:35:52,689 - INFO - Software: PID: 10548, Name: GitHubDesktop.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,696 - INFO - Software: PID: 10580, Name: FusionService.exe, Username: None
2025-06-18 22:35:52,697 - INFO - Software: PID: 10672, Name: RuntimeBroker.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,697 - INFO - Software: PID: 10680, Name: svchost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,702 - INFO - Software: PID: 11184, Name: svchost.exe, Username: None
2025-06-18 22:35:52,702 - INFO - Software: PID: 11276, Name: msedgewebview2.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,707 - INFO - Software: PID: 11296, Name: fdhost.exe, Username: None
2025-06-18 22:35:52,708 - INFO - Software: PID: 11304, Name: RuntimeBroker.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,709 - INFO - Software: PID: 11448, Name: RuntimeBroker.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,715 - INFO - Software: PID: 11504, Name: svchost.exe, Username: None
2025-06-18 22:35:52,715 - INFO - Software: PID: 11568, Name: python.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,716 - INFO - Software: PID: 11584, Name: Code.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,716 - INFO - Software: PID: 11600, Name: chrome.exe, Username: DESKTOP-Q52NLNQ\QuanXam
